loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,customer_age,monthly_income,employment_type,credit_score,region,emi_delay_days,loan_status,emi_amount
70080,5639,Auto,1446549,19.86,12,30,156707,Self-Employed,737,South,0,Paid,144486.136
70081,5079,Auto,957617,20.87,36,38,41628,Salaried,544,South,12,Default,32151.99078
70082,5145,Auto,2359103,12.89,24,45,123710,Salaried,638,North,10,Default,110966.3074
70083,5570,Auto,3787217,21.52,12,21,184891,Self-Employed,594,North,10,Paid,383518.8415
70084,6033,Auto,260975,16.13,36,40,155705,Salaried,493,South,4,Default,8418.618542
70085,6351,Credit Card,2683803,18.11,60,34,87668,Salaried,483,North,7,Paid,52830.66206
70086,6382,Credit Card,2608268,18.6,120,41,80025,Self-Employed,477,South,15,Active,25778.38207
70087,6360,Personal,3383448,16.36,12,26,180019,Salaried,890,East,9,Paid,328081.6744
70088,6427,Auto,4862835,20.25,240,30,163456,Self-Employed,306,East,19,Paid,24364.82953
70089,6453,Auto,2538573,17.16,60,46,187199,Self-Employed,888,South,0,Paid,49569.86878
70090,6035,Credit Card,2154738,9.77,120,35,155600,Self-Employed,657,East,10,Paid,19710.46586
70091,6053,Auto,2523082,8.7,120,42,142867,Salaried,866,North,9,Paid,22854.91778
70092,5812,Auto,1226274,15.95,240,26,36861,Self-Employed,404,East,17,Active,5924.436263
70093,5787,Home,3671752,15.84,60,57,120513,Salaried,821,East,26,Paid,70889.29195
70094,6228,Home,3327247,18.54,36,36,158842,Self-Employed,515,North,11,Paid,109558.8498
70095,5179,Home,322907,15.16,24,59,162124,Salaried,735,South,9,Active,15494.15422
70096,6493,Personal,4453774,18.7,240,34,169627,Self-Employed,718,East,3,Paid,22027.62391
70097,5380,Home,2502013,14.8,120,24,41698,Self-Employed,837,South,13,Paid,23935.92437
70098,5919,Credit Card,4320464,13.66,36,34,39508,Salaried,658,East,0,Active,136406.6495
70099,5445,Credit Card,2610631,15.87,24,59,73966,Self-Employed,565,East,1,Paid,126039.0892
70100,5371,Personal,3433920,11.32,24,45,143539,Self-Employed,459,North,9,Active,159276.656
70101,5646,Home,1490544,19.29,36,23,75032,Salaried,461,South,5,Paid,49390.8316
70102,5354,Auto,2653810,19.35,36,34,169944,Salaried,458,West,4,Paid,87981.17319
70103,5172,Credit Card,4016633,8.6,12,30,59325,Self-Employed,747,West,24,Default,363505.2865
70104,5083,Auto,670756,8.23,60,28,125342,Self-Employed,841,West,10,Paid,12099.32031
70105,5738,Home,114592,13.32,240,54,138219,Salaried,841,West,7,Paid,541.0652267
70106,5762,Auto,275678,13.5,24,49,33756,Salaried,379,East,19,Paid,13037.27208
70107,5943,Credit Card,4992377,20.33,36,58,182665,Self-Employed,422,South,1,Default,166870.2012
70108,5974,Auto,3984728,10.24,24,23,48498,Salaried,713,East,15,Active,183031.8395
70109,5397,Credit Card,4347391,17.83,24,21,66966,Salaried,446,East,2,Paid,213438.784
70110,5647,Auto,4705650,14.68,240,33,181516,Salaried,519,South,15,Paid,22485.16425
70111,5655,Auto,2371453,9.56,12,47,124085,Self-Employed,828,South,5,Paid,216513.6589
70112,6497,Auto,2367745,17.18,60,45,128511,Self-Employed,680,West,5,Active,46242.05985
70113,5918,Home,4450679,20.89,12,40,140885,Salaried,436,East,6,Default,448368.8203
70114,5163,Credit Card,1314849,18,36,31,162212,Self-Employed,804,North,5,Paid,43097.82833
70115,5764,Home,1672977,11.18,12,57,106974,Self-Employed,354,North,5,Active,155001.3191
70116,5326,Personal,2463303,20.78,120,56,58606,Self-Employed,509,North,14,Active,24793.1447
70117,6412,Auto,4804668,13.63,12,26,136889,Self-Employed,621,West,9,Paid,454962.0207
70118,5972,Credit Card,1973909,9.29,24,56,42318,Self-Employed,738,North,9,Paid,89886.88109
70119,5466,Home,1696695,9.92,12,48,175636,Self-Employed,471,South,10,Paid,155417.262
70120,5790,Home,3806411,14.32,24,25,188488,Salaried,890,West,1,Paid,181312.044
70121,5194,Personal,4044471,8.21,12,23,46890,Self-Employed,898,South,5,Paid,364710.1724
70122,5475,Home,2840863,21.36,60,58,119206,Self-Employed,450,South,10,Paid,57461.18895
70123,6449,Home,2698056,16.81,240,56,105093,Self-Employed,541,West,8,Paid,13131.66339
70124,5460,Credit Card,3947391,12,36,58,86591,Self-Employed,685,South,8,Paid,122807.72
70125,5989,Credit Card,4566157,20.39,36,28,121432,Self-Employed,497,East,14,Paid,152699.9003
70126,5361,Home,2544320,14.02,36,47,116766,Self-Employed,692,East,2,Paid,80584.26844
70127,5435,Credit Card,4584668,15,12,30,80360,Salaried,482,East,7,Active,439364.0167
70128,6440,Home,1648782,10.11,60,57,72737,Salaried,595,West,25,Paid,30257.89767
70129,5526,Home,1507508,21.83,12,27,109773,Salaried,607,North,9,Paid,153049.7497
70130,6464,Home,727486,21.04,60,55,136901,Self-Employed,615,West,1,Default,14675.81757
70131,6497,Home,1344649,21.4,240,58,137246,Self-Employed,356,South,2,Paid,6801.682858
70132,5082,Home,1733357,11.8,12,42,190996,Self-Employed,836,East,19,Default,161491.0938
70133,5337,Personal,705476,16.1,24,37,155432,Self-Employed,410,East,9,Active,34127.4015
70134,5885,Auto,2878360,10.93,24,26,172842,Salaried,621,South,8,Paid,133040.1978
70135,5919,Personal,2394212,18.38,60,49,197071,Salaried,442,North,4,Paid,47237.80276
70136,5073,Auto,4927167,8.96,12,29,106508,Salaried,722,South,26,Default,447386.7636
70137,5437,Auto,2019275,12.95,120,53,180295,Self-Employed,705,South,9,Paid,19006.42594
70138,5606,Credit Card,809767,15.97,24,51,150048,Salaried,666,East,2,Default,39128.61625
70139,6110,Personal,4071396,21.83,12,47,145471,Self-Employed,610,South,5,Paid,413348.4789
70140,5312,Credit Card,3526056,10.02,60,41,42951,Self-Employed,409,South,0,Default,64656.11352
70141,6318,Personal,1902568,8.24,240,46,155165,Salaried,601,North,1,Default,8580.58168
70142,5247,Personal,1803166,14.22,24,22,182134,Salaried,839,North,9,Paid,85815.67522
70143,6149,Credit Card,882547,16.18,12,35,21767,Self-Employed,642,East,11,Default,85445.25872
70144,6168,Credit Card,3733491,20.13,36,47,194224,Self-Employed,717,North,2,Active,124584.5205
70145,6311,Auto,732871,16.19,36,26,144071,Self-Employed,787,South,15,Default,23653.41153
70146,5066,Auto,1115858,11.31,36,57,45330,Self-Employed,435,East,39,Active,34501.70944
70147,5892,Home,2907163,12.82,12,49,43467,Salaried,494,North,12,Default,273321.7747
70148,5625,Personal,1627341,10.91,120,55,140401,Salaried,827,North,20,Paid,15040.69919
70149,5298,Home,1454345,18.46,240,40,198330,Self-Employed,701,South,10,Paid,7178.404529
70150,5243,Personal,3316722,21.08,240,54,97261,Self-Employed,342,North,23,Paid,16732.86249
70151,6407,Auto,1481652,21.8,36,44,121503,Self-Employed,457,North,2,Paid,50129.226
70152,5722,Auto,2262335,16.22,12,27,94460,Self-Employed,312,South,7,Default,219107.1447
70153,5328,Auto,3685123,18.36,240,57,59484,Self-Employed,311,South,9,Default,18173.79826
70154,5581,Credit Card,3209510,13.9,120,58,168527,Self-Employed,436,North,3,Active,30463.59908
70155,5614,Home,4928496,18,60,42,30871,Salaried,500,North,0,Active,96927.088
70156,5468,Auto,848601,19.34,240,31,64216,Salaried,595,South,13,Default,4219.668473
70157,5258,Credit Card,4424856,15.4,240,32,63904,Salaried,790,North,19,Active,21276.1826
70158,6287,Home,4437384,11.03,240,38,71565,Self-Employed,465,East,16,Paid,20528.44773
70159,6382,Home,3366216,10.67,24,56,164892,Salaried,742,North,7,Default,155224.6353
70160,5091,Home,382010,8.12,60,45,195178,Salaried,821,South,1,Paid,6883.8202
70161,5049,Auto,240364,21.1,12,53,36591,Self-Employed,630,South,3,Active,24256.73367
70162,5899,Home,1736148,21.98,36,51,130769,Self-Employed,803,North,4,Paid,58826.4814
70163,5227,Personal,3945317,11.53,36,28,190109,Salaried,652,South,25,Paid,122228.1125
70164,5115,Personal,1973908,16.24,36,33,158839,Salaried,809,North,7,Paid,63735.29609
70165,6430,Auto,3936644,20.75,12,31,85672,Self-Employed,840,West,15,Default,396124.8025
70166,5746,Home,876491,11.28,240,41,139079,Self-Employed,833,West,3,Active,4063.996603
70167,5768,Home,289491,19.37,24,54,48362,Self-Employed,811,North,4,Active,14398.55861
70168,6384,Credit Card,4748243,17.75,12,35,45308,Self-Employed,788,North,0,Active,465921.3444
70169,5145,Credit Card,2406833,17.67,240,30,92732,Salaried,674,North,3,Default,11800.50163
70170,6043,Home,803202,19.48,36,48,39886,Self-Employed,556,South,11,Default,26657.38193
70171,5701,Personal,4620747,12.08,12,49,46378,Self-Employed,790,West,4,Active,431577.7698
70172,5773,Auto,4826106,12.46,120,52,109091,Self-Employed,889,North,6,Paid,45228.65673
70173,5261,Auto,4521238,9.13,12,27,178117,Self-Employed,395,South,2,Active,411168.9191
70174,5004,Home,1452149,8.29,240,21,183666,Self-Employed,726,West,2,Paid,6552.2173
70175,5873,Credit Card,2876094,18.6,60,53,63595,Salaried,379,North,13,Active,56850.7914
70176,6089,Auto,762433,19.24,36,29,94070,Self-Employed,438,North,7,Paid,25253.47526
70177,5857,Home,704661,19.29,12,48,196998,Self-Employed,372,North,3,Active,70049.17558
70178,5068,Home,407382,12.84,120,54,199800,Salaried,771,West,11,Paid,3830.74874
70179,5075,Personal,478232,16.5,36,42,106587,Salaried,712,North,7,Paid,15476.11889
70180,5489,Credit Card,1109565,16.62,120,43,82423,Self-Employed,439,East,9,Active,10783.12253
70181,5555,Auto,1855554,12.27,240,59,138039,Salaried,313,West,3,Active,8680.126983
70182,5363,Personal,4355078,17.49,120,32,178749,Self-Employed,628,West,11,Paid,42639.84285
70183,6294,Home,77871,11.02,36,50,159195,Salaried,764,West,10,Paid,2401.455117
70184,5783,Personal,2645945,18.26,120,40,60088,Salaried,578,West,2,Paid,26075.78798
70185,5823,Home,1131434,9.04,12,44,69183,Salaried,873,North,8,Default,102809.6361
70186,6113,Personal,2538323,18.32,12,34,132241,Salaried,556,North,4,Default,250278.6478
70187,6327,Home,4968956,14.41,12,48,124971,Salaried,664,East,5,Paid,473748.5466
70188,5394,Home,274840,19.52,120,50,144269,Salaried,412,East,12,Paid,2737.4064
70189,5603,Credit Card,660336,17.18,120,32,66860,Self-Employed,536,West,2,Active,6448.18104
70190,5480,Personal,628113,9.46,12,56,105184,Self-Employed,617,South,21,Paid,57294.37415
70191,6155,Credit Card,385305,11.94,120,43,80351,Salaried,564,North,6,Default,3594.253475
70192,5488,Credit Card,3494209,16.37,36,55,112824,Self-Employed,598,North,0,Active,112950.3059
70193,5292,Personal,3583642,8.6,240,52,40817,Self-Employed,331,North,4,Paid,16215.98005
70194,5487,Personal,4046451,8.04,120,55,165551,Self-Employed,589,East,17,Paid,36431.54717
70195,5049,Home,2832921,8.3,24,39,111993,Salaried,726,North,2,Active,127835.5601
70196,6184,Credit Card,3997167,8.16,36,44,37428,Salaried,525,South,14,Active,120092.6619
70197,5982,Home,2405243,15.02,240,38,120397,Self-Employed,692,West,3,Paid,11527.12708
70198,6023,Home,2455707,9.28,36,58,159802,Salaried,324,West,1,Active,74544.35027
70199,5005,Auto,3597438,9.33,240,37,70850,Salaried,335,West,13,Active,16387.82902
70200,5815,Personal,3325701,17.62,12,30,105050,Self-Employed,872,South,15,Paid,325974.1264
70201,5545,Home,1410588,10.43,12,22,61443,Self-Employed,656,West,2,Default,129809.3607
70202,6199,Credit Card,2669091,19.37,36,23,52291,Salaried,695,South,1,Paid,88502.60908
70203,5818,Home,3671055,16.47,120,26,129968,Salaried,634,West,8,Active,35630.64799
70204,5062,Home,173040,16.98,36,24,80178,Self-Employed,368,West,0,Paid,5622.838667
70205,6206,Credit Card,2075815,21.34,36,53,65923,Salaried,488,East,3,Paid,69966.49781
70206,5967,Auto,1763806,9.87,120,25,148054,Salaried,692,East,8,Default,16149.11377
70207,5149,Auto,3813915,15.61,60,36,23164,Salaried,518,North,23,Active,73487.78552
70208,5139,Auto,52011,8.06,36,27,157543,Salaried,317,West,13,Paid,1561.19685
70209,5415,Auto,3654144,21.82,24,50,49717,Self-Employed,508,South,19,Paid,185478.2592
70210,5699,Personal,3652289,10.05,240,31,73234,Salaried,329,North,2,Active,16747.26685
70211,5045,Auto,4330917,16.43,120,51,91875,Self-Employed,482,South,0,Active,42020.72219
70212,5029,Home,2300260,14.48,12,25,96697,Salaried,424,East,5,Paid,219444.804
70213,5037,Personal,1158425,12.41,36,38,93758,Self-Employed,525,South,6,Paid,36171.82063
70214,5412,Credit Card,165537,12.94,36,39,75155,Salaried,889,North,7,Paid,5193.26355
70215,5452,Auto,1077917,10.26,36,54,135713,Salaried,609,North,5,Active,33014.20234
70216,5745,Auto,1060770,10.09,24,44,75995,Salaried,672,North,10,Paid,48658.40387
70217,5262,Home,1196360,12.78,240,58,45922,Salaried,370,North,10,Paid,5621.895033
70218,6175,Credit Card,3878710,17.97,36,43,90158,Salaried,597,West,15,Paid,127103.1719
70219,6010,Home,3347098,15.56,24,30,180194,Salaried,383,South,0,Active,161162.7687
70220,6336,Auto,1422735,13.43,60,22,53350,Self-Employed,788,West,19,Default,26896.80518
70221,5280,Credit Card,1799407,17.19,36,27,84450,Self-Employed,568,East,2,Active,58575.6962
70222,5232,Credit Card,132225,18.22,60,42,52110,Self-Employed,588,South,9,Paid,2605.27325
70223,5048,Personal,3541680,18.44,36,40,193857,Self-Employed,341,South,20,Paid,116521.272
70224,6033,Personal,2254199,14.92,120,56,100129,Salaried,802,North,2,Paid,21587.71242
70225,6324,Credit Card,797005,11.64,24,58,199772,Salaried,567,North,5,Active,37074.01592
70226,5621,Credit Card,491874,18.03,240,22,39547,Self-Employed,564,West,3,Paid,2418.995343
70227,5450,Auto,3042625,8.8,120,33,166409,Salaried,883,South,0,Paid,27586.46667
70228,6310,Auto,4340947,8.7,120,41,40858,Salaried,582,West,2,Active,39321.74491
70229,5549,Personal,744390,10.96,24,45,47645,Salaried,746,West,9,Active,34415.631
70230,5987,Personal,2003515,12.71,24,30,68569,Self-Employed,869,East,0,Default,94090.07319
70231,5999,Credit Card,69863,18.9,36,53,105176,Self-Employed,535,South,5,Paid,2307.419639
70232,6332,Auto,707638,8.63,24,30,96488,Self-Employed,508,East,3,Active,32029.46498
70233,6388,Credit Card,4495322,19.97,36,24,43042,Self-Employed,327,East,5,Paid,149806.6056
70234,5223,Credit Card,2539352,8.05,24,38,61984,Self-Employed,726,West,18,Active,114323.7432
70235,6054,Personal,1637848,9.25,120,23,121382,Salaried,315,West,7,Paid,14911.24117
70236,5688,Credit Card,3944987,20.13,120,51,68020,Salaried,361,South,2,Paid,39492.60736
70237,5372,Personal,1806303,8.43,60,33,154360,Self-Employed,348,East,3,Default,32642.90572
70238,6139,Home,2041281,19.45,36,40,51898,Self-Employed,625,West,7,Paid,67730.83763
70239,5995,Home,4406923,12.18,240,31,195150,Salaried,391,North,4,Paid,20598.69259
70240,5954,Home,2226982,19.66,24,53,37757,Salaried,705,North,4,Paid,111033.6109
70241,5737,Home,4467468,19.46,240,50,31789,Self-Employed,379,East,8,Paid,22236.82197
70242,5875,Auto,4946462,8.88,60,39,83272,Self-Employed,371,West,1,Default,89761.79709
70243,5418,Credit Card,3821057,9.2,12,48,146151,Salaried,524,West,1,Paid,347716.187
70244,5566,Auto,2608611,14.22,60,26,157262,Self-Employed,802,South,6,Paid,49659.25807
70245,6096,Auto,3400555,19.73,36,37,119873,Self-Employed,575,East,5,Paid,113096.7917
70246,5233,Personal,2941104,21.03,60,53,135804,Salaried,492,South,17,Default,59326.96952
70247,6078,Auto,1586065,19.93,120,27,28832,Salaried,730,East,10,Paid,15851.39795
70248,5908,Credit Card,1343456,21.6,240,52,104084,Self-Employed,521,North,8,Paid,6806.843733
70249,5455,Auto,2488561,11.14,12,38,132250,Salaried,877,South,5,Paid,230482.2246
70250,6389,Personal,3682201,19.57,12,42,126077,Salaried,511,South,8,Paid,366900.6446
70251,6000,Credit Card,644021,20.6,60,45,90092,Self-Employed,869,West,7,Paid,12944.8221
70252,6304,Auto,3592619,8.05,24,25,103192,Self-Employed,475,North,1,Paid,161742.7012
70253,5282,Credit Card,4736539,9.03,240,50,29664,Salaried,529,North,4,Default,21517.70197
70254,5614,Credit Card,4150038,8.48,12,22,181995,Salaried,882,West,4,Default,375163.4352
70255,5597,Personal,683355,8.51,24,43,45621,Salaried,865,South,4,Paid,30896.18794
70256,5051,Personal,1283287,19.2,120,28,114081,Salaried,454,West,9,Paid,12747.31753
70257,6286,Auto,1462608,19.41,240,47,51771,Salaried,648,West,3,Active,7277.08422
70258,5800,Personal,3435686,8.94,240,26,47731,Salaried,740,East,7,Paid,15595.15137
70259,6286,Personal,1772663,12.92,36,56,135059,Self-Employed,758,South,20,Default,55602.52943
70260,5606,Auto,4332307,18.31,12,46,50998,Self-Employed,367,North,5,Active,427129.3676
70261,5354,Credit Card,2652891,10.09,60,51,21765,Self-Employed,800,West,9,Paid,48676.12837
70262,6031,Auto,1327321,13.27,60,52,59309,Self-Employed,644,North,1,Paid,25057.60828
70263,5735,Personal,1215844,21.55,12,48,82024,Salaried,804,South,13,Paid,123154.8652
70264,5809,Credit Card,3183431,8.65,120,58,38759,Self-Employed,711,North,1,Default,28823.31485
70265,5392,Home,1734254,17.81,12,30,65776,Self-Employed,653,West,6,Active,170260.3865
70266,5172,Auto,4172728,11.29,120,39,113663,Salaried,322,South,12,Paid,38698.57493
70267,5551,Personal,718824,14.18,60,22,108194,Self-Employed,619,East,12,Default,13679.22072
70268,6143,Auto,4358628,18.92,24,36,170054,Salaried,604,East,3,Active,215970.0174
70269,6490,Credit Card,3058630,21.62,120,22,97307,Salaried,497,North,11,Active,30999.21505
70270,5036,Personal,3844678,10.66,12,43,139292,Salaried,796,South,8,Default,354543.3896
70271,5540,Personal,3993823,19.45,24,29,159246,Salaried,804,West,3,Paid,198775.8989
70272,5564,Personal,4443100,12.74,12,39,153711,Self-Employed,711,North,0,Active,417429.245
70273,5173,Auto,1197438,18.89,240,52,63601,Salaried,385,East,14,Paid,5931.808493
70274,6496,Personal,1610213,18.54,240,32,99995,Salaried,637,West,1,Active,7953.110376
70275,6108,Credit Card,4807883,19.57,120,32,179337,Self-Employed,588,North,6,Paid,47906.54753
70276,5296,Credit Card,4427673,14.64,12,37,102748,Salaried,829,North,15,Active,422990.3606
70277,5058,Auto,1388036,18.64,120,45,75793,Salaried,344,West,12,Paid,13723.04925
70278,5569,Personal,576575,12.38,240,52,138395,Self-Employed,864,South,7,Paid,2699.812437
70279,6361,Auto,1819101,11.81,240,54,65733,Salaried,455,West,14,Paid,8474.736784
70280,6009,Personal,2652997,13.94,120,23,66754,Self-Employed,410,West,6,Active,25190.20652
70281,5797,Home,4202805,9.59,240,21,162834,Salaried,830,North,0,Active,19191.05833
70282,6310,Auto,1024112,9.85,120,22,197434,Self-Employed,834,North,3,Active,9374.891933
70283,5467,Credit Card,494680,8.27,120,57,198702,Salaried,402,West,10,Paid,4463.2503
70284,6119,Auto,4574615,20.25,12,57,120660,Salaried,752,West,19,Default,458414.5448
70285,5890,Credit Card,2467999,16.3,24,40,102271,Self-Employed,710,East,15,Paid,119595.1182
70286,5583,Personal,3017140,15.03,36,37,112703,Self-Employed,487,North,3,Paid,96406.00394
70287,5214,Auto,2477341,12.02,60,28,152364,Self-Employed,414,East,18,Paid,46251.95647
70288,6479,Home,2527962,15.42,36,23,123635,Self-Employed,453,North,9,Paid,81049.27057
70289,5987,Auto,1974571,18.14,60,40,125348,Self-Employed,652,West,9,Default,38879.30299
70290,6450,Auto,1725866,18.39,240,40,48234,Salaried,833,West,0,Active,8513.553156
70291,5206,Home,889109,12.91,120,50,80334,Self-Employed,508,South,4,Paid,8365.774766
70292,6465,Auto,734766,15.82,36,24,136157,Salaried,624,South,7,Paid,23639.05503
70293,6107,Auto,3193928,16.02,24,32,194054,Self-Employed,580,East,18,Paid,154399.8027
70294,6476,Credit Card,2269979,14.22,120,58,146265,Self-Employed,437,West,23,Active,21606.41678
70295,5001,Credit Card,2255375,16.83,120,45,107931,Self-Employed,526,West,3,Paid,21957.9551
70296,6088,Credit Card,621892,18.72,36,42,64946,Self-Employed,876,North,11,Paid,20508.61618
70297,5808,Credit Card,216476,19.89,36,47,29223,Salaried,526,East,11,Paid,7209.252122
